order,p,d,q,aic,bic
"(2, 1, 6)",2,1,6,300.9780626011959,325.4045751660991
"(4, 1, 6)",4,1,6,301.51199366678895,330.82380874467276
"(3, 1, 6)",3,1,6,302.7064235264567,329.5755873478502
"(2, 1, 5)",2,1,5,302.7904863521274,324.879612018409
"(0, 1, 6)",0,1,6,302.8821684280685,322.423378479991
"(3, 2, 6)",3,2,6,304.1879831904763,330.9269679777527
"(3, 1, 5)",3,1,5,304.7435695944315,329.2870425569666
"(1, 1, 6)",1,1,6,304.82886033780915,326.812721646222
"(5, 1, 6)",5,1,6,305.11448514671895,336.86895148109306
"(4, 2, 6)",4,2,6,306.12418479023347,335.29398637635325
"(5, 2, 6)",5,2,6,307.2546796747246,338.8552980596877
"(1, 2, 6)",1,2,6,307.7063080663991,329.58365925598895
"(5, 1, 5)",5,1,5,308.319428556257,337.77159611129906
"(1, 0, 6)",1,0,6,308.3408993322487,330.43002499853026
"(1, 1, 5)",1,1,5,308.62129616989125,328.2560745399193
"(3, 2, 5)",3,2,5,308.7868339202185,333.21334648512163
"(3, 2, 4)",3,2,4,309.3577745821314,331.446900248413
"(2, 2, 5)",2,2,5,309.77159515556383,331.75545646397666
"(2, 2, 6)",2,2,6,309.77996682209965,334.0881348105328
"(5, 0, 6)",5,0,6,310.1716991070633,342.0782139583589
"(0, 1, 5)",0,1,5,310.2323606917373,327.4127917655119
"(6, 1, 6)",6,1,6,310.2794298360084,344.4765474268728
"(2, 0, 6)",2,0,6,310.33767987823006,334.88115284076514
"(0, 2, 6)",0,2,6,310.60138539894535,330.04791978969183
"(4, 1, 5)",4,1,5,310.8318289953743,337.82964925416286
"(3, 0, 5)",3,0,5,311.00190653501386,335.6609877215597
"(6, 2, 6)",6,2,6,311.23988241149254,345.2713175952989
"(0, 2, 5)",0,2,5,311.59951545192763,328.69807424735984
"(6, 1, 5)",6,1,5,312.2441210587338,344.1506359100294
"(3, 0, 6)",3,0,6,312.5623972524527,339.56021751124126
"(0, 1, 4)",0,1,4,312.65924882682515,327.45469753875267
"(4, 0, 5)",4,0,5,312.88794179476275,340.01293109996317
"(0, 2, 4)",0,2,4,313.13563627824493,327.861720055766
"(2, 2, 4)",2,2,4,313.5568234783232,333.1916018483513
"(3, 1, 4)",3,1,4,313.5642669020481,335.75743996993936
"(1, 2, 5)",1,2,5,314.27656478319955,333.81777483512207
"(0, 1, 3)",0,1,3,314.29672729111206,326.68341136350307
"(4, 0, 6)",4,0,6,314.2970620799048,343.74922963494686
"(0, 2, 3)",0,2,3,314.6124907064761,326.942031299749
"(1, 1, 4)",1,1,4,314.6575497597919,331.918906590374
"(1, 2, 4)",1,2,4,314.901906242065,332.0823373158396
"(1, 1, 3)",1,1,3,315.15058130211577,330.014602188985
